"","continent","year","lifeExp","country"
"81","Africa",1992,54.314,"Cameroon"
"82","Africa",1997,52.199,"Cameroon"
"83","Africa",2002,49.856,"Cameroon"
"84","Africa",2007,50.43,"Cameroon"
"85","Africa",1952,35.463,"Central African Republic"
"86","Africa",1957,37.464,"Central African Republic"
"87","Africa",1962,39.475,"Central African Republic"
"88","Africa",1967,41.478,"Central African Republic"
"89","Africa",1972,43.457,"Central African Republic"
"90","Africa",1977,46.775,"Central African Republic"
"91","Africa",1982,48.295,"Central African Republic"
"92","Africa",1987,50.485,"Central African Republic"
"93","Africa",1992,49.396,"Central African Republic"
"94","Africa",1997,46.066,"Central African Republic"
"95","Africa",2002,43.308,"Central African Republic"
"96","Africa",2007,44.741,"Central African Republic"
"97","Africa",1952,38.092,"Chad"
"98","Africa",1957,39.881,"Chad"
"99","Africa",1962,41.716,"Chad"
"100","Africa",1967,43.601,"Chad"
"101","Africa",1972,45.569,"Chad"
"102","Africa",1977,47.383,"Chad"
"103","Africa",1982,49.517,"Chad"
"104","Africa",1987,51.051,"Chad"
"105","Africa",1992,51.724,"Chad"
"106","Africa",1997,51.573,"Chad"
"107","Africa",2002,50.525,"Chad"
"108","Africa",2007,50.651,"Chad"
"109","Africa",1952,40.715,"Comoros"
"110","Africa",1957,42.46,"Comoros"
"111","Africa",1962,44.467,"Comoros"
"112","Africa",1967,46.472,"Comoros"
"113","Africa",1972,48.944,"Comoros"
"114","Africa",1977,50.939,"Comoros"
"115","Africa",1982,52.933,"Comoros"
"116","Africa",1987,54.926,"Comoros"
"117","Africa",1992,57.939,"Comoros"
"118","Africa",1997,60.66,"Comoros"
"119","Africa",2002,62.974,"Comoros"
"120","Africa",2007,65.152,"Comoros"
"121","Africa",1952,39.143,"Congo, Dem. Rep."
"122","Africa",1957,40.652,"Congo, Dem. Rep."
"123","Africa",1962,42.122,"Congo, Dem. Rep."
"124","Africa",1967,44.056,"Congo, Dem. Rep."
"125","Africa",1972,45.989,"Congo, Dem. Rep."
"126","Africa",1977,47.804,"Congo, Dem. Rep."
"127","Africa",1982,47.784,"Congo, Dem. Rep."
"128","Africa",1987,47.412,"Congo, Dem. Rep."
"129","Africa",1992,45.548,"Congo, Dem. Rep."
"130","Africa",1997,42.587,"Congo, Dem. Rep."
"131","Africa",2002,44.966,"Congo, Dem. Rep."
"132","Africa",2007,46.462,"Congo, Dem. Rep."
"133","Africa",1952,42.111,"Congo, Rep."
"134","Africa",1957,45.053,"Congo, Rep."
"135","Africa",1962,48.435,"Congo, Rep."
"136","Africa",1967,52.04,"Congo, Rep."
"137","Africa",1972,54.907,"Congo, Rep."
"138","Africa",1977,55.625,"Congo, Rep."
"139","Africa",1982,56.695,"Congo, Rep."
"140","Africa",1987,57.47,"Congo, Rep."
"141","Africa",1992,56.433,"Congo, Rep."
"142","Africa",1997,52.962,"Congo, Rep."
"143","Africa",2002,52.97,"Congo, Rep."
"144","Africa",2007,55.322,"Congo, Rep."
"145","Africa",1952,40.477,"Cote d'Ivoire"
"146","Africa",1957,42.469,"Cote d'Ivoire"
"147","Africa",1962,44.93,"Cote d'Ivoire"
"148","Africa",1967,47.35,"Cote d'Ivoire"
"149","Africa",1972,49.801,"Cote d'Ivoire"
"150","Africa",1977,52.374,"Cote d'Ivoire"
"151","Africa",1982,53.983,"Cote d'Ivoire"
"152","Africa",1987,54.655,"Cote d'Ivoire"
"153","Africa",1992,52.044,"Cote d'Ivoire"
"154","Africa",1997,47.991,"Cote d'Ivoire"
"155","Africa",2002,46.832,"Cote d'Ivoire"
"156","Africa",2007,48.328,"Cote d'Ivoire"
"157","Africa",1952,34.812,"Djibouti"
"158","Africa",1957,37.328,"Djibouti"
"159","Africa",1962,39.693,"Djibouti"
"160","Africa",1967,42.074,"Djibouti"
"161","Africa",1972,44.366,"Djibouti"
"162","Africa",1977,46.519,"Djibouti"
"163","Africa",1982,48.812,"Djibouti"
"164","Africa",1987,50.04,"Djibouti"
"165","Africa",1992,51.604,"Djibouti"
"166","Africa",1997,53.157,"Djibouti"
"167","Africa",2002,53.373,"Djibouti"
"168","Africa",2007,54.791,"Djibouti"
"169","Africa",1952,41.893,"Egypt"
"170","Africa",1957,44.444,"Egypt"
"171","Africa",1962,46.992,"Egypt"
"172","Africa",1967,49.293,"Egypt"
"173","Africa",1972,51.137,"Egypt"
"174","Africa",1977,53.319,"Egypt"
"175","Africa",1982,56.006,"Egypt"
"176","Africa",1987,59.797,"Egypt"
"177","Africa",1992,63.674,"Egypt"
"178","Africa",1997,67.217,"Egypt"
"179","Africa",2002,69.806,"Egypt"
"180","Africa",2007,71.338,"Egypt"
"181","Africa",1952,34.482,"Equatorial Guinea"
"182","Africa",1957,35.983,"Equatorial Guinea"
"183","Africa",1962,37.485,"Equatorial Guinea"
"184","Africa",1967,38.987,"Equatorial Guinea"
"185","Africa",1972,40.516,"Equatorial Guinea"
"186","Africa",1977,42.024,"Equatorial Guinea"
"187","Africa",1982,43.662,"Equatorial Guinea"
"188","Africa",1987,45.664,"Equatorial Guinea"
"189","Africa",1992,47.545,"Equatorial Guinea"
"190","Africa",1997,48.245,"Equatorial Guinea"
"191","Africa",2002,49.348,"Equatorial Guinea"
"192","Africa",2007,51.579,"Equatorial Guinea"
"193","Africa",1952,35.928,"Eritrea"
"194","Africa",1957,38.047,"Eritrea"
"195","Africa",1962,40.158,"Eritrea"
"196","Africa",1967,42.189,"Eritrea"
"197","Africa",1972,44.142,"Eritrea"
"198","Africa",1977,44.535,"Eritrea"
"199","Africa",1982,43.89,"Eritrea"
"200","Africa",1987,46.453,"Eritrea"
"201","Africa",1992,49.991,"Eritrea"
"202","Africa",1997,53.378,"Eritrea"
"203","Africa",2002,55.24,"Eritrea"
"204","Africa",2007,58.04,"Eritrea"
"205","Africa",1952,34.078,"Ethiopia"
"206","Africa",1957,36.667,"Ethiopia"
"207","Africa",1962,40.059,"Ethiopia"
"208","Africa",1967,42.115,"Ethiopia"
"209","Africa",1972,43.515,"Ethiopia"
"210","Africa",1977,44.51,"Ethiopia"
"211","Africa",1982,44.916,"Ethiopia"
"212","Africa",1987,46.684,"Ethiopia"
"213","Africa",1992,48.091,"Ethiopia"
"214","Africa",1997,49.402,"Ethiopia"
"215","Africa",2002,50.725,"Ethiopia"
"216","Africa",2007,52.947,"Ethiopia"
"217","Africa",1952,37.003,"Gabon"
"218","Africa",1957,38.999,"Gabon"
"219","Africa",1962,40.489,"Gabon"
"220","Africa",1967,44.598,"Gabon"
"221","Africa",1972,48.69,"Gabon"
"222","Africa",1977,52.79,"Gabon"
"223","Africa",1982,56.564,"Gabon"
"224","Africa",1987,60.19,"Gabon"
"225","Africa",1992,61.366,"Gabon"
"226","Africa",1997,60.461,"Gabon"
"227","Africa",2002,56.761,"Gabon"
"228","Africa",2007,56.735,"Gabon"
"229","Africa",1952,30,"Gambia"
"230","Africa",1957,32.065,"Gambia"
"231","Africa",1962,33.896,"Gambia"
"232","Africa",1967,35.857,"Gambia"
"233","Africa",1972,38.308,"Gambia"
"234","Africa",1977,41.842,"Gambia"
"235","Africa",1982,45.58,"Gambia"
"236","Africa",1987,49.265,"Gambia"
"237","Africa",1992,52.644,"Gambia"
"238","Africa",1997,55.861,"Gambia"
"239","Africa",2002,58.041,"Gambia"
"240","Africa",2007,59.448,"Gambia"
"241","Africa",1952,43.149,"Ghana"
"242","Africa",1957,44.779,"Ghana"
"243","Africa",1962,46.452,"Ghana"
"244","Africa",1967,48.072,"Ghana"
"245","Africa",1972,49.875,"Ghana"
"246","Africa",1977,51.756,"Ghana"
"247","Africa",1982,53.744,"Ghana"
"248","Africa",1987,55.729,"Ghana"
"249","Africa",1992,57.501,"Ghana"
"250","Africa",1997,58.556,"Ghana"
"251","Africa",2002,58.453,"Ghana"
"252","Africa",2007,60.022,"Ghana"
"253","Africa",1952,33.609,"Guinea"
"254","Africa",1957,34.558,"Guinea"
"255","Africa",1962,35.753,"Guinea"
"256","Africa",1967,37.197,"Guinea"
"257","Africa",1972,38.842,"Guinea"
"258","Africa",1977,40.762,"Guinea"
"259","Africa",1982,42.891,"Guinea"
"260","Africa",1987,45.552,"Guinea"
"261","Africa",1992,48.576,"Guinea"
"262","Africa",1997,51.455,"Guinea"
"263","Africa",2002,53.676,"Guinea"
"264","Africa",2007,56.007,"Guinea"
"265","Africa",1952,32.5,"Guinea-Bissau"
"266","Africa",1957,33.489,"Guinea-Bissau"
"267","Africa",1962,34.488,"Guinea-Bissau"
"268","Africa",1967,35.492,"Guinea-Bissau"
"269","Africa",1972,36.486,"Guinea-Bissau"
"270","Africa",1977,37.465,"Guinea-Bissau"
"271","Africa",1982,39.327,"Guinea-Bissau"
"272","Africa",1987,41.245,"Guinea-Bissau"
"273","Africa",1992,43.266,"Guinea-Bissau"
"274","Africa",1997,44.873,"Guinea-Bissau"
"275","Africa",2002,45.504,"Guinea-Bissau"
"276","Africa",2007,46.388,"Guinea-Bissau"
"277","Africa",1952,42.27,"Kenya"
"278","Africa",1957,44.686,"Kenya"
"279","Africa",1962,47.949,"Kenya"
"280","Africa",1967,50.654,"Kenya"
"281","Africa",1972,53.559,"Kenya"
"282","Africa",1977,56.155,"Kenya"
"283","Africa",1982,58.766,"Kenya"
"284","Africa",1987,59.339,"Kenya"
"285","Africa",1992,59.285,"Kenya"
"286","Africa",1997,54.407,"Kenya"
"287","Africa",2002,50.992,"Kenya"
"288","Africa",2007,54.11,"Kenya"
"289","Africa",1952,42.138,"Lesotho"
"290","Africa",1957,45.047,"Lesotho"
"291","Africa",1962,47.747,"Lesotho"
"292","Africa",1967,48.492,"Lesotho"
"293","Africa",1972,49.767,"Lesotho"
"294","Africa",1977,52.208,"Lesotho"
"295","Africa",1982,55.078,"Lesotho"
"296","Africa",1987,57.18,"Lesotho"
"297","Africa",1992,59.685,"Lesotho"
"298","Africa",1997,55.558,"Lesotho"
"299","Africa",2002,44.593,"Lesotho"
"300","Africa",2007,42.592,"Lesotho"
"301","Africa",1952,38.48,"Liberia"
"302","Africa",1957,39.486,"Liberia"
"303","Africa",1962,40.502,"Liberia"
"304","Africa",1967,41.536,"Liberia"
"305","Africa",1972,42.614,"Liberia"
"306","Africa",1977,43.764,"Liberia"
"307","Africa",1982,44.852,"Liberia"
"308","Africa",1987,46.027,"Liberia"
"309","Africa",1992,40.802,"Liberia"
"310","Africa",1997,42.221,"Liberia"
"311","Africa",2002,43.753,"Liberia"
"312","Africa",2007,45.678,"Liberia"
"313","Africa",1952,42.723,"Libya"
"314","Africa",1957,45.289,"Libya"
"315","Africa",1962,47.808,"Libya"
"316","Africa",1967,50.227,"Libya"
"317","Africa",1972,52.773,"Libya"
"318","Africa",1977,57.442,"Libya"
"319","Africa",1982,62.155,"Libya"
"320","Africa",1987,66.234,"Libya"
"321","Africa",1992,68.755,"Libya"
"322","Africa",1997,71.555,"Libya"
"323","Africa",2002,72.737,"Libya"
"324","Africa",2007,73.952,"Libya"
"325","Africa",1952,36.681,"Madagascar"
"326","Africa",1957,38.865,"Madagascar"
"327","Africa",1962,40.848,"Madagascar"
"328","Africa",1967,42.881,"Madagascar"
"329","Africa",1972,44.851,"Madagascar"
"330","Africa",1977,46.881,"Madagascar"
"331","Africa",1982,48.969,"Madagascar"
"332","Africa",1987,49.35,"Madagascar"
"333","Africa",1992,52.214,"Madagascar"
"334","Africa",1997,54.978,"Madagascar"
"335","Africa",2002,57.286,"Madagascar"
"336","Africa",2007,59.443,"Madagascar"
"337","Africa",1952,36.256,"Malawi"
"338","Africa",1957,37.207,"Malawi"
"339","Africa",1962,38.41,"Malawi"
"340","Africa",1967,39.487,"Malawi"
"341","Africa",1972,41.766,"Malawi"
"342","Africa",1977,43.767,"Malawi"
"343","Africa",1982,45.642,"Malawi"
"344","Africa",1987,47.457,"Malawi"
"345","Africa",1992,49.42,"Malawi"
"346","Africa",1997,47.495,"Malawi"
"347","Africa",2002,45.009,"Malawi"
"348","Africa",2007,48.303,"Malawi"
"349","Africa",1952,33.685,"Mali"
"350","Africa",1957,35.307,"Mali"
"351","Africa",1962,36.936,"Mali"
"352","Africa",1967,38.487,"Mali"
"353","Africa",1972,39.977,"Mali"
"354","Africa",1977,41.714,"Mali"
"355","Africa",1982,43.916,"Mali"
"356","Africa",1987,46.364,"Mali"
"357","Africa",1992,48.388,"Mali"
"358","Africa",1997,49.903,"Mali"
"359","Africa",2002,51.818,"Mali"
"360","Africa",2007,54.467,"Mali"
"361","Africa",1952,40.543,"Mauritania"
"362","Africa",1957,42.338,"Mauritania"
"363","Africa",1962,44.248,"Mauritania"
"364","Africa",1967,46.289,"Mauritania"
"365","Africa",1972,48.437,"Mauritania"
"366","Africa",1977,50.852,"Mauritania"
"367","Africa",1982,53.599,"Mauritania"
"368","Africa",1987,56.145,"Mauritania"
"369","Africa",1992,58.333,"Mauritania"
"370","Africa",1997,60.43,"Mauritania"
"371","Africa",2002,62.247,"Mauritania"
"372","Africa",2007,64.164,"Mauritania"
"373","Africa",1952,50.986,"Mauritius"
"374","Africa",1957,58.089,"Mauritius"
"375","Africa",1962,60.246,"Mauritius"
"376","Africa",1967,61.557,"Mauritius"
"377","Africa",1972,62.944,"Mauritius"
"378","Africa",1977,64.93,"Mauritius"
"379","Africa",1982,66.711,"Mauritius"
"380","Africa",1987,68.74,"Mauritius"
"381","Africa",1992,69.745,"Mauritius"
"382","Africa",1997,70.736,"Mauritius"
"383","Africa",2002,71.954,"Mauritius"
"384","Africa",2007,72.801,"Mauritius"
"385","Africa",1952,42.873,"Morocco"
"386","Africa",1957,45.423,"Morocco"
"387","Africa",1962,47.924,"Morocco"
"388","Africa",1967,50.335,"Morocco"
"389","Africa",1972,52.862,"Morocco"
"390","Africa",1977,55.73,"Morocco"
"391","Africa",1982,59.65,"Morocco"
"392","Africa",1987,62.677,"Morocco"
"393","Africa",1992,65.393,"Morocco"
"394","Africa",1997,67.66,"Morocco"
"395","Africa",2002,69.615,"Morocco"
"396","Africa",2007,71.164,"Morocco"
"397","Africa",1952,31.286,"Mozambique"
"398","Africa",1957,33.779,"Mozambique"
"399","Africa",1962,36.161,"Mozambique"
"400","Africa",1967,38.113,"Mozambique"
"401","Africa",1972,40.328,"Mozambique"
"402","Africa",1977,42.495,"Mozambique"
"403","Africa",1982,42.795,"Mozambique"
"404","Africa",1987,42.861,"Mozambique"
"405","Africa",1992,44.284,"Mozambique"
"406","Africa",1997,46.344,"Mozambique"
"407","Africa",2002,44.026,"Mozambique"
"408","Africa",2007,42.082,"Mozambique"
"409","Africa",1952,41.725,"Namibia"
"410","Africa",1957,45.226,"Namibia"
"411","Africa",1962,48.386,"Namibia"
"412","Africa",1967,51.159,"Namibia"
"413","Africa",1972,53.867,"Namibia"
"414","Africa",1977,56.437,"Namibia"
"415","Africa",1982,58.968,"Namibia"
"416","Africa",1987,60.835,"Namibia"
"417","Africa",1992,61.999,"Namibia"
"418","Africa",1997,58.909,"Namibia"
"419","Africa",2002,51.479,"Namibia"
"420","Africa",2007,52.906,"Namibia"
"421","Africa",1952,37.444,"Niger"
"422","Africa",1957,38.598,"Niger"
"423","Africa",1962,39.487,"Niger"
"424","Africa",1967,40.118,"Niger"
"425","Africa",1972,40.546,"Niger"
"426","Africa",1977,41.291,"Niger"
"427","Africa",1982,42.598,"Niger"
"428","Africa",1987,44.555,"Niger"
"429","Africa",1992,47.391,"Niger"
"430","Africa",1997,51.313,"Niger"
"431","Africa",2002,54.496,"Niger"
"432","Africa",2007,56.867,"Niger"
"433","Africa",1952,36.324,"Nigeria"
"434","Africa",1957,37.802,"Nigeria"
"435","Africa",1962,39.36,"Nigeria"
"436","Africa",1967,41.04,"Nigeria"
"437","Africa",1972,42.821,"Nigeria"
"438","Africa",1977,44.514,"Nigeria"
"439","Africa",1982,45.826,"Nigeria"
"440","Africa",1987,46.886,"Nigeria"
"441","Africa",1992,47.472,"Nigeria"
"442","Africa",1997,47.464,"Nigeria"
"443","Africa",2002,46.608,"Nigeria"
"444","Africa",2007,46.859,"Nigeria"
"445","Africa",1952,52.724,"Reunion"
"446","Africa",1957,55.09,"Reunion"
"447","Africa",1962,57.666,"Reunion"
"448","Africa",1967,60.542,"Reunion"
"449","Africa",1972,64.274,"Reunion"
"450","Africa",1977,67.064,"Reunion"
"451","Africa",1982,69.885,"Reunion"
"452","Africa",1987,71.913,"Reunion"
"453","Africa",1992,73.615,"Reunion"
"454","Africa",1997,74.772,"Reunion"
"455","Africa",2002,75.744,"Reunion"
"456","Africa",2007,76.442,"Reunion"
"457","Africa",1952,40,"Rwanda"
"458","Africa",1957,41.5,"Rwanda"
"459","Africa",1962,43,"Rwanda"
"460","Africa",1967,44.1,"Rwanda"
"461","Africa",1972,44.6,"Rwanda"
"462","Africa",1977,45,"Rwanda"
"463","Africa",1982,46.218,"Rwanda"
"464","Africa",1987,44.02,"Rwanda"
"465","Africa",1992,23.599,"Rwanda"
"466","Africa",1997,36.087,"Rwanda"
"467","Africa",2002,43.413,"Rwanda"
"468","Africa",2007,46.242,"Rwanda"
"469","Africa",1952,46.471,"Sao Tome and Principe"
"470","Africa",1957,48.945,"Sao Tome and Principe"
"471","Africa",1962,51.893,"Sao Tome and Principe"
"472","Africa",1967,54.425,"Sao Tome and Principe"
"473","Africa",1972,56.48,"Sao Tome and Principe"
"474","Africa",1977,58.55,"Sao Tome and Principe"
"475","Africa",1982,60.351,"Sao Tome and Principe"
"476","Africa",1987,61.728,"Sao Tome and Principe"
"477","Africa",1992,62.742,"Sao Tome and Principe"
"478","Africa",1997,63.306,"Sao Tome and Principe"
"479","Africa",2002,64.337,"Sao Tome and Principe"
"480","Africa",2007,65.528,"Sao Tome and Principe"
"481","Africa",1952,37.278,"Senegal"
"482","Africa",1957,39.329,"Senegal"
"483","Africa",1962,41.454,"Senegal"
"484","Africa",1967,43.563,"Senegal"
"485","Africa",1972,45.815,"Senegal"
"486","Africa",1977,48.879,"Senegal"
"487","Africa",1982,52.379,"Senegal"
"488","Africa",1987,55.769,"Senegal"
"489","Africa",1992,58.196,"Senegal"
"490","Africa",1997,60.187,"Senegal"
"491","Africa",2002,61.6,"Senegal"
"492","Africa",2007,63.062,"Senegal"
"493","Africa",1952,30.331,"Sierra Leone"
"494","Africa",1957,31.57,"Sierra Leone"
"495","Africa",1962,32.767,"Sierra Leone"
"496","Africa",1967,34.113,"Sierra Leone"
"497","Africa",1972,35.4,"Sierra Leone"
"498","Africa",1977,36.788,"Sierra Leone"
"499","Africa",1982,38.445,"Sierra Leone"
"500","Africa",1987,40.006,"Sierra Leone"
"501","Africa",1992,38.333,"Sierra Leone"
"502","Africa",1997,39.897,"Sierra Leone"
"503","Africa",2002,41.012,"Sierra Leone"
"504","Africa",2007,42.568,"Sierra Leone"
"505","Africa",1952,32.978,"Somalia"
"506","Africa",1957,34.977,"Somalia"
"507","Africa",1962,36.981,"Somalia"
"508","Africa",1967,38.977,"Somalia"
"509","Africa",1972,40.973,"Somalia"
"510","Africa",1977,41.974,"Somalia"
"511","Africa",1982,42.955,"Somalia"
"512","Africa",1987,44.501,"Somalia"
"513","Africa",1992,39.658,"Somalia"
"514","Africa",1997,43.795,"Somalia"
"515","Africa",2002,45.936,"Somalia"
"516","Africa",2007,48.159,"Somalia"
"517","Africa",1952,45.009,"South Africa"
"518","Africa",1957,47.985,"South Africa"
"519","Africa",1962,49.951,"South Africa"
"520","Africa",1967,51.927,"South Africa"
"521","Africa",1972,53.696,"South Africa"
"522","Africa",1977,55.527,"South Africa"
"523","Africa",1982,58.161,"South Africa"
"524","Africa",1987,60.834,"South Africa"
"525","Africa",1992,61.888,"South Africa"
"526","Africa",1997,60.236,"South Africa"
"527","Africa",2002,53.365,"South Africa"
"528","Africa",2007,49.339,"South Africa"
"529","Africa",1952,38.635,"Sudan"
"530","Africa",1957,39.624,"Sudan"
"531","Africa",1962,40.87,"Sudan"
"532","Africa",1967,42.858,"Sudan"
"533","Africa",1972,45.083,"Sudan"
"534","Africa",1977,47.8,"Sudan"
"535","Africa",1982,50.338,"Sudan"
"536","Africa",1987,51.744,"Sudan"
"537","Africa",1992,53.556,"Sudan"
"538","Africa",1997,55.373,"Sudan"
"539","Africa",2002,56.369,"Sudan"
"540","Africa",2007,58.556,"Sudan"
"541","Africa",1952,41.407,"Swaziland"
"542","Africa",1957,43.424,"Swaziland"
"543","Africa",1962,44.992,"Swaziland"
"544","Africa",1967,46.633,"Swaziland"
"545","Africa",1972,49.552,"Swaziland"
"546","Africa",1977,52.537,"Swaziland"
"547","Africa",1982,55.561,"Swaziland"
"548","Africa",1987,57.678,"Swaziland"
"549","Africa",1992,58.474,"Swaziland"
"550","Africa",1997,54.289,"Swaziland"
"551","Africa",2002,43.869,"Swaziland"
"552","Africa",2007,39.613,"Swaziland"
"553","Africa",1952,41.215,"Tanzania"
"554","Africa",1957,42.974,"Tanzania"
"555","Africa",1962,44.246,"Tanzania"
"556","Africa",1967,45.757,"Tanzania"
"557","Africa",1972,47.62,"Tanzania"
"558","Africa",1977,49.919,"Tanzania"
"559","Africa",1982,50.608,"Tanzania"
"560","Africa",1987,51.535,"Tanzania"
"561","Africa",1992,50.44,"Tanzania"
"562","Africa",1997,48.466,"Tanzania"
"563","Africa",2002,49.651,"Tanzania"
"564","Africa",2007,52.517,"Tanzania"
"565","Africa",1952,38.596,"Togo"
"566","Africa",1957,41.208,"Togo"
"567","Africa",1962,43.922,"Togo"
"568","Africa",1967,46.769,"Togo"
"569","Africa",1972,49.759,"Togo"
"570","Africa",1977,52.887,"Togo"
"571","Africa",1982,55.471,"Togo"
"572","Africa",1987,56.941,"Togo"
"573","Africa",1992,58.061,"Togo"
"574","Africa",1997,58.39,"Togo"
"575","Africa",2002,57.561,"Togo"
"576","Africa",2007,58.42,"Togo"
"577","Africa",1952,44.6,"Tunisia"
"578","Africa",1957,47.1,"Tunisia"
"579","Africa",1962,49.579,"Tunisia"
"580","Africa",1967,52.053,"Tunisia"
"581","Africa",1972,55.602,"Tunisia"
"582","Africa",1977,59.837,"Tunisia"
"583","Africa",1982,64.048,"Tunisia"
"584","Africa",1987,66.894,"Tunisia"
"585","Africa",1992,70.001,"Tunisia"
"586","Africa",1997,71.973,"Tunisia"
"587","Africa",2002,73.042,"Tunisia"
"588","Africa",2007,73.923,"Tunisia"
"589","Africa",1952,39.978,"Uganda"
"590","Africa",1957,42.571,"Uganda"
"591","Africa",1962,45.344,"Uganda"
"592","Africa",1967,48.051,"Uganda"
"593","Africa",1972,51.016,"Uganda"
"594","Africa",1977,50.35,"Uganda"
"595","Africa",1982,49.849,"Uganda"
"596","Africa",1987,51.509,"Uganda"
"597","Africa",1992,48.825,"Uganda"
"598","Africa",1997,44.578,"Uganda"
"599","Africa",2002,47.813,"Uganda"
"600","Africa",2007,51.542,"Uganda"
"601","Africa",1952,42.038,"Zambia"
"602","Africa",1957,44.077,"Zambia"
"603","Africa",1962,46.023,"Zambia"
"604","Africa",1967,47.768,"Zambia"
"605","Africa",1972,50.107,"Zambia"
"606","Africa",1977,51.386,"Zambia"
"607","Africa",1982,51.821,"Zambia"
"608","Africa",1987,50.821,"Zambia"
"609","Africa",1992,46.1,"Zambia"
"610","Africa",1997,40.238,"Zambia"
"611","Africa",2002,39.193,"Zambia"
"612","Africa",2007,42.384,"Zambia"
"613","Africa",1952,48.451,"Zimbabwe"
"614","Africa",1957,50.469,"Zimbabwe"
"615","Africa",1962,52.358,"Zimbabwe"
"616","Africa",1967,53.995,"Zimbabwe"
"617","Africa",1972,55.635,"Zimbabwe"
"618","Africa",1977,57.674,"Zimbabwe"
"619","Africa",1982,60.363,"Zimbabwe"
"620","Africa",1987,62.351,"Zimbabwe"
"621","Africa",1992,60.377,"Zimbabwe"
"622","Africa",1997,46.809,"Zimbabwe"
"623","Africa",2002,39.989,"Zimbabwe"
"624","Africa",2007,43.487,"Zimbabwe"
"625","Asia",1952,28.801,"Afghanistan"
"626","Asia",1957,30.332,"Afghanistan"
"627","Asia",1962,31.997,"Afghanistan"
"628","Asia",1967,34.02,"Afghanistan"
"629","Asia",1972,36.088,"Afghanistan"
"630","Asia",1977,38.438,"Afghanistan"
"631","Asia",1982,39.854,"Afghanistan"
"632","Asia",1987,40.822,"Afghanistan"
"633","Asia",1992,41.674,"Afghanistan"
"634","Asia",1997,41.763,"Afghanistan"
"635","Asia",2002,42.129,"Afghanistan"
